"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Mar-2017","    21237.50","    21289.80","    21194.25","    21249.90","       73921069","         2310.19"
"17-Mar-2017","    21308.45","    21336.05","    21127.95","    21175.05","       92308641","         3726.23"
"20-Mar-2017","    21202.55","    21202.55","    21084.80","    21110.25","       50376495","         1837.69"
"21-Mar-2017","    21110.65","    21146.50","    20967.00","    21019.00","       72936344","         2481.96"
"22-Mar-2017","    20815.35","    20899.00","    20753.90","    20781.35","       83727177","         3342.31"
"23-Mar-2017","    20848.75","    20934.75","    20775.35","    20895.50","       60387250","         2370.82"
"24-Mar-2017","    20987.60","    21174.10","    20929.15","    21122.55","      124797100","         3469.38"
"27-Mar-2017","    21178.10","    21179.20","    20979.55","    21056.90","       97615919","         2724.96"
"28-Mar-2017","    21229.00","    21264.95","    21145.00","    21225.40","       95258847","         3085.11"
"29-Mar-2017","    21291.45","    21418.60","    21255.75","    21391.15","      119195883","         3822.73"
"30-Mar-2017","    21374.35","    21696.00","    21331.90","    21620.70","      111132480","         4310.10"
"31-Mar-2017","    21551.85","    21574.15","    21414.00","    21444.15","      103206746","         3006.08"
"03-Apr-2017","    21539.20","    21565.45","    21408.60","    21547.75","       61067763","         1906.61"
"05-Apr-2017","    21602.20","    21699.30","    21499.75","    21652.70","       84599454","         2687.88"
"06-Apr-2017","    21572.70","    21674.00","    21488.90","    21622.95","       93689427","         3046.09"
"07-Apr-2017","    21536.50","    21616.85","    21397.00","    21431.15","       96285404","         2249.17"
"10-Apr-2017","    21492.05","    21552.10","    21396.05","    21520.15","       57491405","         1899.75"
"11-Apr-2017","    21521.45","    21753.35","    21483.55","    21736.15","       89433764","         2573.00"
"12-Apr-2017","    21735.65","    21787.10","    21551.75","    21666.80","       78966353","         2262.20"
"13-Apr-2017","    21651.25","    21758.85","    21627.00","    21686.60","       71469667","         2103.68"
"17-Apr-2017","    21700.50","    21743.30","    21576.75","    21647.60","       49031440","         1613.70"
"18-Apr-2017","    21706.05","    21947.00","    21634.15","    21671.85","       85174794","         2519.03"
"19-Apr-2017","    21674.10","    21706.30","    21470.20","    21556.35","       81449296","         2982.23"
"20-Apr-2017","    21419.45","    21558.85","    21396.00","    21491.40","      100132829","         4072.58"
"21-Apr-2017","    21567.50","    21614.55","    21386.20","    21551.45","       77253527","         3180.14"
"24-Apr-2017","    21591.90","    21884.85","    21578.65","    21857.40","       84637572","         3426.83"
"25-Apr-2017","    21960.65","    22093.25","    21900.30","    22054.70","       88819491","         2951.25"
"26-Apr-2017","    22158.65","    22276.05","    21814.90","    22242.85","      133893025","         3440.25"
"27-Apr-2017","    22274.05","    22380.85","    22169.80","    22326.30","      166567366","         5121.57"
"28-Apr-2017","    22296.80","    22383.00","    22182.55","    22358.25","      167782299","         3435.87"
"02-May-2017","    22412.55","    22492.15","    22266.15","    22341.35","      140738147","         3271.81"
"03-May-2017","    22445.85","    22449.00","    22240.05","    22307.30","      130697797","         2999.79"
"04-May-2017","    22618.30","    22743.70","    22449.90","    22720.10","      226413641","         6577.31"
"05-May-2017","    22844.85","    22853.55","    22514.00","    22604.95","      255187439","         6371.44"
"08-May-2017","    22678.45","    22835.15","    22632.50","    22767.35","      106479323","         3170.57"
"09-May-2017","    22820.80","    22835.35","    22664.35","    22707.30","       81028829","         2350.68"
"10-May-2017","    22767.75","    22859.40","    22742.05","    22830.35","       73498955","         2353.34"
"11-May-2017","    22916.05","    22977.85","    22764.65","    22818.45","       78856978","         2557.60"
"12-May-2017","    22840.40","    22859.15","    22578.00","    22671.70","       96397424","         4278.32"
"15-May-2017","    22735.85","    22891.70","    22730.35","    22821.50","       74700041","         3207.83"
"16-May-2017","    22857.60","    22944.10","    22727.65","    22928.60","      134784390","         3836.41"
"17-May-2017","    22972.35","    22978.15","    22830.10","    22935.95","       96263996","         3028.04"
"18-May-2017","    22750.45","    22834.55","    22660.20","    22698.60","      113423012","         4013.89"
